name,timestamp
BASE_ZERO,1998-01-18
BEFORE_GIMAGE_IS_FLAT_REMOVAL,1998-08-16
BEFORE_HOLLYWOOD_GTK_1_2,1998-11-24
BEFORE_MATTS_CRAZY_TOOL_PATCH,1998-03-31
BEFORE_TILE_MADNESS,1998-07-10
FOR_PANEL,1999-04-06
GIMP_0_99_16,1997-12-15
GIMP_0_99_17,1998-01-04
GIMP_0_99_18,1998-01-26
GIMP_0_99_19,1998-03-02
GIMP_0_99_20,1998-03-12
GIMP_0_99_21,1998-03-15
GIMP_0_99_22,1998-03-20
GIMP_0_99_23,1998-03-27
GIMP_0_99_24,1998-04-08
GIMP_0_99_25,1998-04-11
GIMP_0_99_27,1998-04-18
GIMP_0_99_28,1998-04-26
GIMP_0_99_29,1998-05-05
GIMP_1_0_0,1998-06-05
GIMP_1_0_1,1998-09-27
GIMP_1_0_2,1998-10-15
GIMP_1_0_3,1999-03-29
GIMP_1_0_4,1999-04-04
GIMP_1_1_0,1998-12-24
GIMP_1_1_1,1999-01-21
GIMP_1_1_2,1999-02-04
GIMP_1_1_3,1999-03-09
GIMP_1_1_4,1999-03-30
GIMP_1_1_5,1999-05-03
GIMP_1_1_6,1999-06-06
GIMP_1_1_7,1999-07-17
GIMP_1_1_8,1999-08-02
GIMP_1_1_9,1999-09-10
GIMP_1_1_10,1999-10-06
GIMP_1_1_11,1999-11-01
GIMP_1_1_12,1999-11-25
GIMP_1_1_13,1999-11-25
GIMP_1_1_14,1999-12-16
GIMP_1_1_15,2000-01-14
GIMP_1_1_16,2000-02-02
GIMP_1_1_17,2000-02-12
GIMP_1_1_18,2000-03-04
GIMP_1_1_19,2000-03-30
GIMP_1_1_20,2000-04-22
GIMP_1_1_21,2000-05-01
GIMP_1_1_22,2000-05-16
GIMP_1_1_23,2000-05-28
GIMP_1_1_24,2000-06-22
GIMP_1_1_25,2000-08-21
GIMP_1_1_26,2000-09-23
GIMP_1_1_27,2000-10-04
GIMP_1_1_28,2000-10-16
GIMP_1_1_29,2000-10-31
GIMP_1_1_30,2000-12-10
GIMP_1_1_31,2000-12-19
GIMP_1_1_32,2000-12-21
GIMP_1_2_0,2000-12-25
GIMP_1_2_1,2001-01-22
GIMP_1_2_2,2001-07-26
GIMP_1_2_2_PRE1,2001-06-19
GIMP_1_2_2_PRE2,2001-06-26
GIMP_1_2_2_PRE3,2001-07-02
GIMP_1_2_3_PRE1,2001-10-28
GIMP_1_2_3_PRE2,2001-11-06
GIMP_1_2_4,2003-05-20
GIMP_1_2_5,2003-06-14
GIMP_1_3_0,2001-11-13
GIMP_1_3_1,2001-11-25
GIMP_1_3_2,2001-12-29
GIMP_1_3_3,2002-02-10
GIMP_1_3_4,2002-03-09
GIMP_1_3_5,2002-03-28
GIMP_1_3_6,2002-05-29
GIMP_1_3_7,2002-05-30
GIMP_1_3_8,2002-08-20
GIMP_1_3_9,2002-10-11
GIMP_1_3_10,2002-11-07
GIMP_1_3_11,2002-12-30
GIMP_1_3_12,2003-02-18
GIMP_1_3_13,2003-03-23
GIMP_1_3_14,2003-04-14
GIMP_1_3_15,2003-06-09
GIMP_1_3_16,2003-06-27
GIMP_1_3_17,2003-07-25
GIMP_1_3_18,2003-08-11
GIMP_1_3_19,2003-08-27
GIMP_1_3_20,2003-09-07
GIMP_1_3_21,2003-10-05
GIMP_1_3_22,2003-11-03
GIMP_1_3_23,2003-11-24
GIMP_1_3_24,2004-01-07
GIMP_1_3_25,2004-01-19
GIMP_1_3_26,2004-02-04
GIMP_1_3_27,2004-03-04
GIMP_2_0_0,2004-03-23
GIMP_2_0_1,2004-04-13
GIMP_2_0_2,2004-06-15
GIMP_2_0_3,2004-07-17
GIMP_2_0_4,2004-08-05
GIMP_2_0_5,2004-09-25
GIMP_2_0_6,2004-11-02
GIMP_2_0_RC1,2004-03-20
GIMP_2_1_0,2004-06-02
GIMP_2_1_1,2004-06-24
GIMP_2_1_2,2004-07-20
GIMP_2_1_3,2004-08-06
GIMP_2_1_4,2004-09-05
GIMP_2_1_5,2004-09-19
GIMP_2_1_6,2004-10-05
GIMP_2_1_7,2004-10-14
GIMP_2_2_0,2004-12-19
GIMP_2_2_1,2004-12-28
GIMP_2_2_2,2005-01-09
GIMP_2_2_3,2005-01-22
GIMP_2_2_4,2005-02-22
GIMP_2_2_5,2005-04-09
GIMP_2_2_6,2005-04-10
GIMP_2_2_7,2005-05-08
GIMP_2_2_8,2005-06-26
GIMP_2_2_9,2005-10-27
GIMP_2_2_10,2005-12-27
GIMP_2_2_11,2006-04-13
GIMP_2_2_12,2006-07-06
GIMP_2_2_13,2006-08-24
GIMP_2_2_14,2007-04-17
GIMP_2_2_15,2007-05-26
GIMP_2_2_16,2007-07-06
GIMP_2_2_17,2007-07-13
GIMP_2_2_PRE1,2004-11-01
GIMP_2_2_PRE2,2004-11-20
GIMP_2_3_0,2005-05-14
GIMP_2_3_1,2005-06-09
GIMP_2_3_2,2005-07-01
GIMP_2_3_3,2005-08-10
GIMP_2_3_4,2005-09-26
GIMP_2_3_5,2005-11-04
GIMP_2_3_6,2005-12-28
GIMP_2_3_7,2006-02-08
GIMP_2_3_8,2006-04-12
GIMP_2_3_9,2006-06-05
GIMP_2_3_10,2006-07-05
GIMP_2_3_11,2006-09-07
GIMP_2_3_12,2006-10-11
GIMP_2_3_13,2006-11-23
GIMP_2_3_14,2007-01-23
GIMP_2_3_15,2007-03-09
GIMP_2_3_16,2007-04-24
GIMP_2_3_17,2007-05-27
GIMP_2_3_18,2007-06-11
GIMP_2_3_19,2007-07-24
GIMP_2_4_0,2007-10-23
GIMP_2_4_0_RC1,2007-08-15
GIMP_2_4_0_RC2,2007-09-03
GIMP_2_4_0_RC3,2007-09-23
GIMP_2_4_1,2007-10-31
GIMP_2_4_2,2007-11-20
GIMP_2_4_3,2007-12-16
GIMP_2_4_4,2008-01-30
GIMP_2_4_5,2008-02-29
GIMP_2_4_6,2008-05-29
GIMP_2_4_7,2008-08-21
GIMP_2_5_0,2008-04-09
GIMP_2_5_1,2008-06-15
GIMP_2_5_2,2008-07-16
GIMP_2_5_3,2008-08-21
GIMP_2_5_4,2008-09-16
